source_kind,source_name,source_url,source_tab,family,model_name,run_tag,task,language,variant,setting,score,metric,raw_value,status,date_updated,config,finetune_job_id,eval_job_id,eval_output_dir,summary_path,checkpoint_path,comparisons,notes
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Sot,monolingual,,,,- 0.004 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Sot,multilingual,,,,- 0.004 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Xho,base,,,,- 0-shot: 0.0042 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Xho,monolingual,,,,- 0.205 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Xho,multilingual,,,,- 0.011 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Zul,base,,,,- 0-shot: 0.0037 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Zul,monolingual,,,,- 0.004 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Zul,multilingual,,,,- 0.008 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Tsn,base,,,,- 0-shot: 0 F1,baseline_note,25 Jan,,,,,,,,TODO: Investigate why multilingual performance is higher than monolingual (0.304 vs 0.144)
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Tsn,monolingual,,,,- 0.144 F1,baseline_note,25 Jan,,,,,,,,TODO: Investigate why multilingual performance is higher than monolingual (0.304 vs 0.144)
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Tsn,multilingual,,,,- 0.304 F1,baseline_note,25 Jan,,,,,,,,TODO: Investigate why multilingual performance is higher than monolingual (0.304 vs 0.144)
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Xho,base,,,,- 0-shot: 0 F1,baseline_note,25 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Xho,monolingual,,,,- 0.115 F1,baseline_note,25 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Xho,multilingual,,,,- 0.117 F1,baseline_note,25 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Zul,base,,,,- 0-shot: 0 F1,baseline_note,25 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Zul,monolingual,,,,- 0.034 F1,baseline_note,25 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNER,Zul,multilingual,,,,- 0.105 F1,baseline_note,25 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNews,Eng,base,,,,- 0-shot: 0.3918 F1,baseline_note,5 Jan,,,,,,,,"TODO: Investigate why multilingual performance is much lower than monolingual (0.104 vs 0.744 Eng, 0.207 vs 0.560 Xho)"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNews,Eng,monolingual,,,,- 0.744 F1,baseline_note,5 Jan,,,,,,,,"TODO: Investigate why multilingual performance is much lower than monolingual (0.104 vs 0.744 Eng, 0.207 vs 0.560 Xho)"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNews,Eng,multilingual,,,,- 0.104 F1,baseline_note,5 Jan,,,,,,,,"TODO: Investigate why multilingual performance is much lower than monolingual (0.104 vs 0.744 Eng, 0.207 vs 0.560 Xho)"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNews,Xho,base,,,,- 0-shot: 0.3726 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNews,Xho,monolingual,,,,- 0.560 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaNews,Xho,multilingual,,,,- 0.207 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaPOS,Tsn,monolingual,,,,TODO: lm eval harness task broken,baseline_note,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaPOS,Xho,monolingual,,,,TODO: lm eval harness task broken,baseline_note,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,MasakhaPOS,Zul,monolingual,,,,TODO: lm eval harness task broken,baseline_note,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Afr,base,,,,- 0-shot: 0.1788 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Afr,monolingual,,,,- 0.163 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Afr,multilingual,,,,- 0.161 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Eng,base,,,,- 0-shot: 0.1577 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Eng,monolingual,,,,- 0.065 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Eng,multilingual,,,,- 0.184 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Nso,base,,,,- 0-shot: 0.0515 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Nso,monolingual,,,,- 0.047 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Nso,multilingual,,,,- 0.105 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Sot,base,,,,- 0-shot: 0.0539 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Sot,monolingual,,,,- 0.066 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Sot,multilingual,,,,- 0.148 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Xho,base,,,,- 0-shot: 0.1079 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Xho,monolingual,,,,- 0.246 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Xho,multilingual,,,,- 0.136 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Zul,base,,,,- 0-shot: 0.1164 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Zul,monolingual,,,,- 0.157 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,SIB200,Zul,multilingual,,,,- 0.154 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,,monolingual,,,,TODO: why does mamba do worse with beam than greedy in afrihg cases?,baseline_note,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,base,"""xho_chrf""",1.14,,"""xho_chrf"": 1.14",baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,base,"""xho_chrf""",6.89,,"""xho_chrf"": 6.89",baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,BLEU,0.009,,BLEU: 0.009,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,BLEU,0.034,,BLEU: 0.034,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,ROUGE-1,0.259,,ROUGE-1: 0.259,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,ROUGE-1,0.226,,ROUGE-1: 0.226,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,ROUGE-2,0.114,,ROUGE-2: 0.114,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,ROUGE-2,0.084,,ROUGE-2: 0.084,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,ROUGE-L,0.252,,ROUGE-L: 0.252,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,ROUGE-L,0.221,,ROUGE-L: 0.221,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,chrF,18.52,,chrF: 18.52,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Xho,monolingual,chrF,22.72,,chrF: 22.72,baseline_result,,,,,,,,,"- investigate more, redo with chrf
- performance drop of hpo"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Zul,base,"""zul_chrf""",1.01,,"""zul_chrf"": 1.01",baseline_result,,,,,,,,,"TODO: Investigate why greedy outperforms beam for Mamba on AfriHG

TODO: Investigate why multilingual (0.209 ROUGE-L) significantly outperforms monolingual (0.009 ROUGE-L) for AfriHG"
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,afrihg,Zul,base,"""zul_chrf""",4.54,,"""zul_chrf"": 4.54",baseline_result,,,,,,,,,"TODO: Investigate why greedy outperforms beam for Mamba on AfriHG

TODO: Investigate why multilingual (0.209 ROUGE-L) significantly outperforms monolingual (0.009 ROUGE-L) for AfriHG"
